,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,hour,day,month
0,Dog,Neutered Male,365.0,Shetland Sheepdog Mix,Brown/White,18,2,2
1,Cat,Spayed Female,365.0,Domestic Shorthair Mix,Cream Tabby,12,6,10
2,Dog,Neutered Male,730.0,Pit Bull Mix,Blue/White,12,5,1
3,Cat,Intact Male,21.0,Domestic Shorthair Mix,Blue Cream,19,4,7
4,Dog,Neutered Male,730.0,Lhasa Apso/Miniature Poodle,Tan,12,4,11
5,Dog,Intact Female,30.0,Cairn Terrier/Chihuahua Shorthair,Black/Tan,13,4,4
6,Cat,Intact Male,21.0,Domestic Shorthair Mix,Blue Tabby,13,5,3
7,Cat,Unknown,21.0,Domestic Shorthair Mix,Brown Tabby,17,3,4
8,Dog,Spayed Female,150.0,American Pit Bull Terrier Mix,Red/White,17,1,2
9,Dog,Spayed Female,365.0,Cairn Terrier,White,7,5,5
10,Cat,Unknown,730.0,Domestic Shorthair Mix,Black,15,3,12
11,Dog,Spayed Female,730.0,Miniature Schnauzer Mix,Silver,14,0,11
12,Dog,Neutered Male,1460.0,Pit Bull Mix,Brown,11,2,2
13,Dog,Neutered Male,730.0,Yorkshire Terrier Mix,Black/Red,16,0,6
14,Dog,Neutered Male,365.0,Great Pyrenees Mix,White/Cream,15,2,11
15,Cat,Neutered Male,90.0,Domestic Shorthair Mix,Orange Tabby/White,12,5,7
16,Cat,Intact Male,21.0,Domestic Shorthair Mix,Brown Tabby,16,5,5
17,Dog,Intact Female,14.0,Pit Bull Mix,Brown/White,12,5,6
18,Cat,Intact Female,730.0,Angora Mix,White,11,5,5
19,Dog,Neutered Male,365.0,Flat Coat Retriever Mix,Black,17,2,7
20,Dog,Intact Male,60.0,Queensland Heeler Mix,Black/White,15,6,1
21,Cat,Spayed Female,365.0,Domestic Shorthair Mix,White,15,4,9
22,Dog,Spayed Female,730.0,Plott Hound/Boxer,Brown Brindle/White,14,5,8
23,Dog,Neutered Male,300.0,German Shepherd Mix,Brown/White,16,0,10
24,Dog,Neutered Male,60.0,German Shepherd Mix,Black/Brown,17,2,4
25,Cat,Intact Female,30.0,Domestic Shorthair Mix,Orange Tabby,15,5,10
26,Dog,Spayed Female,180.0,American Staffordshire Terrier Mix,Chocolate/White,17,4,1
27,Dog,Spayed Female,1825.0,Chihuahua Shorthair Mix,White/Tan,18,2,3
28,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Cream Tabby/White,13,5,11
29,Cat,Neutered Male,2555.0,Russian Blue Mix,Blue,14,3,7
30,Cat,Spayed Female,1095.0,Domestic Shorthair Mix,Calico,13,4,1
31,Dog,Intact Male,120.0,Labrador Retriever Mix,Black/White,15,2,7
32,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Torbie,17,3,7
33,Dog,Neutered Male,1825.0,Collie Smooth/German Shepherd,Brown/Black,13,4,11
34,Dog,Neutered Male,1095.0,Chihuahua Shorthair Mix,Brown,16,5,4
35,Dog,Intact Male,1095.0,Labrador Retriever Mix,Yellow,14,4,12
36,Dog,Neutered Male,1095.0,Pit Bull Mix,Brown/White,11,3,10
37,Cat,Intact Male,60.0,Domestic Shorthair Mix,Blue/White,13,2,7
38,Cat,Neutered Male,120.0,Domestic Shorthair Mix,Black/White,0,1,8
39,Cat,Intact Male,21.0,Domestic Shorthair Mix,Brown Tabby,12,1,7
40,Cat,Spayed Female,2555.0,Domestic Shorthair Mix,Blue Tabby,17,5,4
41,Cat,Intact Male,60.0,Domestic Shorthair Mix,Orange Tabby,13,1,6
42,Cat,Intact Female,60.0,Domestic Shorthair Mix,Brown Tabby,15,0,12
43,Cat,Intact Male,1460.0,Domestic Longhair Mix,Black/White,15,1,1
44,Cat,Neutered Male,730.0,Domestic Shorthair Mix,Black/White,15,2,5
45,Dog,Neutered Male,4380.0,Beagle,Tricolor,7,2,8
46,Cat,Spayed Female,3285.0,Domestic Shorthair Mix,White/Black,11,1,8
47,Cat,Intact Female,21.0,Domestic Shorthair Mix,Black,11,1,5
48,Dog,Spayed Female,150.0,German Shepherd Mix,Black/Brown,17,0,3
49,Dog,Intact Male,2190.0,Pit Bull/Labrador Retriever,Chocolate/White,15,2,10
50,Cat,Intact Female,365.0,Domestic Shorthair Mix,Tortie,9,0,7
51,Cat,Spayed Female,90.0,Domestic Shorthair Mix,Brown Tabby,18,0,10
52,Cat,Intact Female,21.0,Domestic Shorthair Mix,Blue Tabby/White,17,3,6
53,Dog,Neutered Male,730.0,Blue Lacy Mix,Gray/White,12,3,5
54,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Orange Tabby/White,16,1,11
55,Cat,Intact Male,7.0,Domestic Shorthair Mix,Black,15,6,10
56,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Calico,13,6,8
57,Dog,Intact Male,365.0,Chihuahua Shorthair Mix,Tan,16,4,7
58,Dog,Spayed Female,1460.0,Black Mouth Cur Mix,Tan/Black,14,1,9
59,Dog,Neutered Male,730.0,Dachshund/Beagle,Brown/White,12,0,7
60,Cat,Intact Male,365.0,Domestic Shorthair Mix,Orange Tabby/White,13,2,8
61,Dog,Spayed Female,4015.0,Yorkshire Terrier Mix,Brown/Black,18,4,5
62,Cat,Intact Female,30.0,Domestic Shorthair Mix,Black,15,1,10
63,Dog,Spayed Female,730.0,Dachshund Mix,Tan/White,11,2,9
64,Cat,Unknown,14.0,Domestic Shorthair Mix,Black,17,3,7
65,Dog,Spayed Female,2190.0,Maltese Mix,White,18,1,10
