AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A671945,Hambone,2/12/2014 18:22,Return_to_owner,,Dog,Neutered Male,1 year,Shetland Sheepdog Mix,Brown/White
A656520,Emily,10/13/2013 12:44,Euthanasia,Suffering,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Cream Tabby
A686464,Pearce,1/31/2015 12:28,Adoption,Foster,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
A683430,,7/11/2014 19:09,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Cream
A667013,,11/15/2013 12:52,Transfer,Partner,Dog,Neutered Male,2 years,Lhasa Apso/Miniature Poodle,Tan
A677334,Elsa,4/25/2014 13:04,Transfer,Partner,Dog,Intact Female,1 month,Cairn Terrier/Chihuahua Shorthair,Black/Tan
A699218,Jimmy,3/28/2015 13:11,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby
A701489,,4/30/2015 17:02,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby
A671784,Lucy,2/4/2014 17:17,Adoption,,Dog,Spayed Female,5 months,American Pit Bull Terrier Mix,Red/White
A677747,,5/3/2014 7:48,Adoption,Offsite,Dog,Spayed Female,1 year,Cairn Terrier,White
A668402,,12/5/2013 15:50,Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Black
A666320,,11/4/2013 14:48,Adoption,,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,Silver
A684601,Rocket,2/3/2016 11:27,Adoption,Foster,Dog,Neutered Male,4 years,Pit Bull Mix,Brown
A704702,Scooter,6/8/2015 16:30,Return_to_owner,,Dog,Neutered Male,2 years,Yorkshire Terrier Mix,Black/Red
A688584,Preston,11/25/2015 15:00,Return_to_owner,,Dog,Neutered Male,1 year,Great Pyrenees Mix,White/Cream
A678825,Oliver,7/12/2014 12:10,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
A678050,,5/3/2014 16:15,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A680028,,6/7/2014 12:54,Transfer,Partner,Dog,Intact Female,2 weeks,Pit Bull Mix,Brown/White
A679010,Chrissy,5/17/2014 11:32,Transfer,Partner,Cat,Intact Female,2 years,Angora Mix,White
A684787,Kuma,7/30/2014 17:34,Return_to_owner,,Dog,Neutered Male,1 year,Flat Coat Retriever Mix,Black
A670658,Anders,1/19/2014 15:03,Transfer,Partner,Dog,Intact Male,2 months,Queensland Heeler Mix,Black/White
A708812,Munchkin,9/18/2015 15:19,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White
A705262,Jamaica,8/15/2015 14:22,Adoption,,Dog,Spayed Female,2 years,Plott Hound/Boxer,Brown Brindle/White
A665781,Quattro,10/28/2013 16:32,Adoption,,Dog,Neutered Male,10 months,German Shepherd Mix,Brown/White
A676333,Trigger,4/9/2014 17:44,Return_to_owner,,Dog,Neutered Male,2 months,German Shepherd Mix,Black/Brown
A712750,Olive,10/3/2015 15:44,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby
A718832,Nia,1/15/2016 17:31,Adoption,,Dog,Spayed Female,6 months,American Staffordshire Terrier Mix,Chocolate/White
A698777,Chloe,3/25/2015 18:50,Adoption,,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,White/Tan
A715348,Cymbale,11/21/2015 13:01,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Cream Tabby/White
A708666,Jax,7/30/2015 14:30,Return_to_owner,,Cat,Neutered Male,7 years,Russian Blue Mix,Blue
A718535,,1/1/2016 13:57,Euthanasia,Suffering,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico
A707341,Murphy,7/15/2015 15:25,Transfer,Partner,Dog,Intact Male,4 months,Labrador Retriever Mix,Black/White
A682532,,7/3/2014 17:01,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
A666825,Jesse,11/8/2013 13:24,Return_to_owner,,Dog,Neutered Male,5 years,Collie Smooth/German Shepherd,Brown/Black
A699723,Delgado,4/11/2015 16:01,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown
A668626,,12/6/2013 14:55,Euthanasia,Suffering,Dog,Intact Male,3 years,Labrador Retriever Mix,Yellow
A657085,Pony Boy,10/24/2013 11:22,Return_to_owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Brown/White
A682413,,7/2/2014 13:37,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue/White
A702655,Mica,8/11/2015 0:00,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White
A707503,,7/14/2015 12:16,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A697199,Pilar,4/4/2015 17:26,Adoption,,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Blue Tabby
A705598,,6/23/2015 13:25,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby
A668388,Lucy,12/9/2013 15:04,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
A671181,,1/21/2014 15:15,Transfer,SCRP,Cat,Intact Male,4 years,Domestic Longhair Mix,Black/White
A676766,Ali,5/28/2014 15:52,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black/White
A686716,Chester,8/27/2014 7:50,Return_to_owner,,Dog,Neutered Male,12 years,Beagle,Tricolor
A684475,Daisy,8/5/2014 11:15,Return_to_owner,,Cat,Spayed Female,9 years,Domestic Shorthair Mix,White/Black
A701804,,5/5/2015 11:46,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black
A697852,Edith,3/9/2015 17:57,Adoption,,Dog,Spayed Female,5 months,German Shepherd Mix,Black/Brown
A666092,,10/30/2013 15:37,Euthanasia,Aggressive,Dog,Intact Male,6 years,Pit Bull/Labrador Retriever,Chocolate/White
A684050,,7/28/2014 9:00,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie
