AnimalID,Name,Date,weekday,Month,Time (hour),,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A671945,Hambone,"Wednesday, February 12, 2014",Wednesday,Feb,6:22:00 PM,0,Return_to_owner,,Dog,Neutered Male,1 year,Shetland Sheepdog Mix,Brown/White
A656520,Emily,"Sunday, October 13, 2013",Sunday,Oct,12:44:00 PM,0,Euthanasia,Suffering,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Cream Tabby
A686464,Pearce,"Saturday, January 31, 2015",Saturday,Jan,12:28:00 PM,0,Adoption,Foster,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
A683430,,"Friday, July 11, 2014",Friday,Jul,7:09:00 PM,0,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Cream
A667013,,"Friday, November 15, 2013",Friday,Nov,12:52:00 PM,0,Transfer,Partner,Dog,Neutered Male,2 years,Lhasa Apso/Miniature Poodle,Tan
A677334,Elsa,"Friday, April 25, 2014",Friday,Apr,1:04:00 PM,0,Transfer,Partner,Dog,Intact Female,1 month,Cairn Terrier/Chihuahua Shorthair,Black/Tan
A699218,Jimmy,"Saturday, March 28, 2015",Saturday,Mar,1:11:00 PM,13,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby
A701489,,"Thursday, April 30, 2015",Thursday,Apr,5:02:00 PM,17,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby
A671784,Lucy,"Tuesday, February 04, 2014",Tuesday,Feb,5:17:00 PM,17,Adoption,,Dog,Spayed Female,5 months,American Pit Bull Terrier Mix,Red/White
A677747,,"Saturday, May 03, 2014",Saturday,May,7:48:00 AM,7,Adoption,Offsite,Dog,Spayed Female,1 year,Cairn Terrier,White
A668402,,"Thursday, December 05, 2013",Thursday,Dec,3:50:00 PM,15,Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Black
A666320,,"Monday, November 04, 2013",Monday,Nov,2:48:00 PM,14,Adoption,,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,Silver
A684601,Rocket,"Wednesday, February 03, 2016",Wednesday,Feb,11:27:00 AM,11,Adoption,Foster,Dog,Neutered Male,4 years,Pit Bull Mix,Brown
